id,a1,a2,a3,a4,class
1,1,0,0,1,1
2,0,0,0,1,1
3,0,1,0,0,1
4,0,0,0,1,1
5,1,0,1,0,1
6,0,0,0,0,0
7,0,0,1,1,1
8,1,0,1,1,1
9,1,0,0,1,1
10,0,0,1,1,0
11,0,1,1,0,0
12,0,0,0,0,0
13,1,1,1,1,1
14,1,1,0,0,1
15,1,0,1,1,1
16,0,1,0,1,0
17,1,0,1,0,0
18,0,0,0,0,0
19,0,1,1,0,1
20,0,1,0,0,1
21,0,1,0,0,1
22,1,0,1,0,1
23,0,1,1,1,1
24,0,0,1,1,1
25,1,0,0,1,1
26,0,0,0,0,0
27,1,1,1,1,1
28,1,0,0,0,1
29,1,1,0,1,0
30,0,1,1,1,1
31,0,1,0,1,1
32,0,1,0,1,1
33,0,0,0,0,0
34,0,0,1,0,1
35,1,0,1,0,1
36,0,1,0,1,0
37,1,0,0,1,1
38,0,0,0,1,0
39,0,1,1,0,1
40,1,1,1,0,1
41,0,1,0,1,1
42,0,1,0,0,1
43,0,1,1,0,1
44,0,0,1,1,1
45,0,1,1,0,1
46,1,0,1,0,1
47,0,1,0,1,1
48,0,0,0,0,0
49,0,0,1,0,1
50,0,0,1,1,0
