id,a1,a2,a3,a4,a5,a6,a7,a8,class
1,1,0,0,1,1,1,0,0,0
2,0,0,0,1,1,0,0,0,1
3,0,1,0,0,1,0,1,0,0
4,0,0,0,1,0,0,0,1,1
5,1,0,1,0,0,1,0,0,1
6,0,0,0,0,1,1,0,0,1
7,0,0,1,1,0,0,0,1,1
8,1,0,1,1,1,1,1,0,1
9,1,0,0,1,1,1,1,0,1
10,0,0,1,1,0,1,0,0,1
11,0,1,1,0,0,0,0,1,1
12,0,0,0,0,1,0,1,1,1
13,1,1,1,1,1,1,0,0,1
14,1,1,0,0,1,1,1,1,0
15,1,0,1,1,0,1,1,1,1
16,0,1,0,1,1,1,1,1,0
17,1,0,1,0,1,1,0,0,0
18,0,0,0,0,0,1,1,1,1
19,0,1,1,0,1,1,1,0,1
20,0,1,0,0,0,1,0,1,1
21,0,1,0,0,1,0,0,0,1
22,1,0,1,0,0,1,0,1,1
23,0,1,1,1,1,1,1,1,1
24,0,0,1,1,1,0,1,1,1
25,1,0,0,1,1,0,0,1,1
26,0,0,0,0,1,1,0,1,1
27,1,1,1,1,0,0,1,0,1
28,1,0,0,0,0,0,0,0,1
29,1,1,0,1,0,0,0,0,1
30,0,1,1,1,0,0,0,1,1
31,0,1,0,1,0,0,0,0,1
32,0,1,0,1,1,0,0,1,1
33,0,0,0,0,1,1,0,1,1
34,0,0,1,0,0,1,1,1,1
35,1,0,1,0,1,0,0,0,1
36,0,1,0,1,1,0,0,0,1
37,1,0,0,1,0,0,0,0,1
38,0,0,0,1,1,0,0,0,1
39,0,1,1,0,1,1,0,0,1
40,1,1,1,0,1,1,1,0,1
41,0,1,0,1,0,1,1,0,1
42,0,1,0,0,1,1,1,1,0
43,0,1,1,0,0,0,0,1,1
44,0,0,1,1,1,0,0,1,0
45,0,1,1,0,1,0,1,0,0
46,1,0,1,0,1,0,0,1,0
47,0,1,0,1,0,1,0,0,1
48,0,0,0,0,0,1,0,0,1
49,0,0,1,0,0,1,1,1,1
50,0,0,1,1,1,1,1,1,1
51,0,1,0,0,0,1,0,0,0
52,0,0,0,1,1,1,1,0,1
53,0,0,0,0,1,1,0,0,1
54,1,0,1,0,1,0,1,0,1
55,0,0,0,0,1,0,0,0,1
